137,18,"Wrestling Men's Heavyweight, Greco-Roman"
138,38,Volleyball Men's Volleyball
139,28,Taekwondo Women's Heavyweight
140,39,Synchronized Swimming Women's Duet
141,39,Synchronized Swimming Women's Team
142,28,Taekwondo Women's Featherweight
143,2,Athletics Men's Marathon
144,2,Athletics Men's 4 x 400 metres Relay
145,2,"Athletics Men's 10,000 metres"
146,2,"Athletics Women's 3,000 metres"
147,30,Diving Women's Platform
148,26,"Shooting Men's Air Rifle, 10 metres"
149,2,Athletics Men's 200 metres
150,17,Weightlifting Men's Flyweight
151,10,Swimming Men's 100 metres Backstroke
152,17,Weightlifting Men's Light-Heavyweight
153,18,"Wrestling Men's Lightweight, Greco-Roman"
154,24,"Fencing Men's Sabre, Individual"
155,18,"Wrestling Men's Super-Heavyweight, Greco-Roman"
156,26,"Shooting Men's Free Pistol, 50 metres"
157,26,"Shooting Men's Air Pistol, 10 metres"
158,22,Rowing Men's Coxless Fours
159,27,Boxing Men's Light-Flyweight
160,27,Boxing Men's Super-Heavyweight
161,18,"Wrestling Men's Flyweight, Greco-Roman"
162,26,"Shooting Women's Air Rifle, 10 metres"
163,17,Weightlifting Men's Middle-Heavyweight
164,2,Athletics Men's Javelin Throw
165,38,Volleyball Women's Volleyball
166,18,"Wrestling Men's Welterweight, Greco-Roman"
167,18,"Wrestling Men's Middleweight, Greco-Roman"
168,2,"Athletics Men's 3,000 metres Steeplechase"
169,18,"Wrestling Men's Middleweight, Freestyle"
170,10,Swimming Women's 100 metres Backstroke
171,10,Swimming Women's 200 metres Backstroke
172,10,Swimming Women's 4 x 100 metres Medley Relay
173,18,"Wrestling Men's Light-Heavyweight, Freestyle"
174,33,Modern Pentathlon Men's Team
175,27,Boxing Men's Bantamweight
176,2,Athletics Women's 200 metres
177,40,Table Tennis Women's Singles
178,40,Table Tennis Women's Doubles
179,26,Shooting Men's Skeet
180,10,Swimming Women's 50 metres Freestyle
181,26,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
182,2,Athletics Men's Triple Jump
183,17,Weightlifting Women's Lightweight
184,2,Athletics Women's Long Jump
185,24,"Fencing Women's epee, Individual"
186,10,Swimming Men's 200 metres Freestyle
187,10,Swimming Men's 4 x 100 metres Freestyle Relay
188,10,Swimming Men's 200 metres Backstroke
189,10,Swimming Men's 200 metres Individual Medley
190,10,Swimming Men's 400 metres Individual Medley
191,1,Badminton Women's Singles
192,27,Boxing Men's Light-Middleweight
193,32,Tennis Men's Singles
194,18,"Wrestling Men's Bantamweight, Freestyle"
195,18,"Wrestling Men's Flyweight, Freestyle"
196,2,"Athletics Women's 5,000 metres"
197,17,Weightlifting Women's Light-Heavyweight
198,17,Weightlifting Women's Heavyweight
199,2,Athletics Men's Discus Throw
200,28,Taekwondo Men's Featherweight
201,28,Taekwondo Men's Welterweight
202,4,Judo Men's Heavyweight
203,29,Cycling Men's Sprint
204,23,Bobsleigh Men's Two
205,18,"Wrestling Men's Lightweight, Freestyle"
206,41,Nordic Combined Men's Team
207,41,Nordic Combined Men's Individual
208,42,Baseball Men's Baseball
209,22,Rowing Men's Coxed Fours
210,29,Cycling Men's 100 kilometres Team Time Trial
211,43,Rhythmic Gymnastics Women's Group
212,14,"Art Competitions Mixed Architecture, Designs For Town Planning"
213,14,"Art Competitions Mixed Architecture, Architectural Designs"
214,13,Gymnastics Women's Individual All-Around
215,13,Gymnastics Women's Team All-Around
216,13,Gymnastics Women's Floor Exercise
217,13,Gymnastics Women's Horse Vault
218,13,Gymnastics Women's Uneven Bars
219,13,Gymnastics Women's Balance Beam
220,30,Diving Women's Springboard
221,30,Diving Women's Synchronized Springboard
222,2,"Athletics Women's 10,000 metres"
223,11,Sailing Mixed 7 metres
224,4,Judo Women's Half-Middleweight
225,2,Athletics Men's Decathlon
226,12,Biathlon Men's 10 kilometres Sprint
227,12,Biathlon Men's 20 kilometres
228,12,Biathlon Men's 4 x 7.5 kilometres Relay
229,44,Freestyle Skiing Men's Moguls
